Id,Hero,Power
136,Alien,Jump
137,Alien,Substance Secretion
138,Alien,Natural Armor
139,Alien,Heat Resistance
140,Alien,Natural Weapons
141,Alien,Wallcrawling
142,Alien,Vision - Thermal
143,Allan Quatermain,Marksmanship
144,Amazo,Agility
145,Amazo,Lantern Power Ring
146,Amazo,Durability
147,Amazo,Flight
148,Amazo,Underwater breathing
149,Amazo,Marksmanship
150,Amazo,Power Augmentation
151,Amazo,Longevity
152,Amazo,Intelligence
153,Amazo,Super Strength
154,Amazo,Cryokinesis
155,Amazo,Telepathy
156,Amazo,Energy Blasts
157,Amazo,Duplication
158,Amazo,Size Changing
159,Amazo,Stamina
160,Amazo,Super Speed
161,Amazo,Weapon-based Powers
162,Amazo,Teleportation
163,Amazo,Enhanced Senses
164,Amazo,Jump
165,Amazo,Shapeshifting
166,Amazo,Camouflage
167,Amazo,Phasing
168,Amazo,Fire Control
169,Amazo,Enhanced Memory
170,Amazo,Reflexes
171,Amazo,Invulnerability
172,Amazo,Energy Constructs
173,Amazo,Force Fields
174,Amazo,Power Absorption
175,Amazo,Enhanced Hearing
176,Amazo,Time Travel
177,Amazo,Enhanced Smell
178,Amazo,Water Control
179,Amazo,Vision - Telescopic
180,Amazo,Magnetism
181,Amazo,Invisibility
182,Amazo,Vision - Microscopic
183,Amazo,Super Breath
184,Amazo,Vision - Night
185,Amazo,Vision - Heat
186,Amazo,Vision - X-Ray
187,Amazo,Vision - Thermal
188,Ammo,Weapons Master
189,Ando Masahashi,Power Augmentation
190,Angel,Agility
191,Angel,Accelerated Healing
192,Angel,Durability
193,Angel,Stealth
194,Angel,Flight
195,Angel,Longevity
196,Angel,Super Strength
197,Angel,Stamina
198,Angel,Super Speed
199,Angel,Enhanced Senses
200,Angel,Magic
201,Angel,Immortality
202,Angel,Enhanced Memory
203,Angel,Psionic Powers
204,Angel,Enhanced Hearing
205,Angel,Gliding
206,Angel,Vision - Telescopic
207,Angel,Toxin and Disease Resistance
208,Angel Dust,Agility
209,Angel Dust,Super Strength
210,Angel Dust,Stamina
211,Angel Dust,Super Speed
212,Angel Salvadore,Flight
213,Angel Salvadore,Animal Attributes
214,Angel Salvadore,Animal Oriented Powers
215,Angel Salvadore,Regeneration
216,Angel Salvadore,Toxin and Disease Control
217,Angela,Longevity
218,Animal Man,Animal Attributes
219,Animal Man,Telepathy
220,Animal Man,Energy Blasts
221,Animal Man,Animal Oriented Powers
222,Animal Man,Empathy
223,Annihilus,Agility
224,Annihilus,Durability
225,Annihilus,Flight
226,Annihilus,Super Strength
227,Annihilus,Stamina
228,Annihilus,Super Speed
229,Annihilus,Reflexes
230,Ant-Man,Intelligence
231,Ant-Man,Size Changing
232,Ant-Man II,Agility
233,Ant-Man II,Stealth
234,Ant-Man II,Intelligence
235,Ant-Man II,Super Strength
236,Ant-Man II,Telepathy
237,Ant-Man II,Size Changing
238,Ant-Man II,Stamina
239,Ant-Man II,Animal Oriented Powers
240,Ant-Man II,Animal Control
241,Anti-Monitor,Accelerated Healing
242,Anti-Monitor,Dimensional Awareness
243,Anti-Monitor,Durability
244,Anti-Monitor,Energy Absorption
245,Anti-Monitor,Flight
246,Anti-Monitor,Power Augmentation
247,Anti-Monitor,Intelligence
248,Anti-Monitor,Super Strength
249,Anti-Monitor,Telepathy
250,Anti-Monitor,Energy Blasts
251,Anti-Monitor,Size Changing
252,Anti-Monitor,Darkforce Manipulation
253,Anti-Monitor,Teleportation
254,Anti-Monitor,Energy Beams
255,Anti-Monitor,Immortality
256,Anti-Monitor,Invulnerability
257,Anti-Monitor,Energy Constructs
258,Anti-Monitor,Molecular Manipulation
259,Anti-Monitor,Power Suit
260,Anti-Monitor,Time Travel
261,Anti-Monitor,Time Manipulation
262,Anti-Monitor,Matter Absorption
263,Anti-Monitor,Reality Warping
264,Anti-Spawn,Durability
265,Anti-Spawn,Super Strength
266,Anti-Spawn,Energy Blasts
267,Anti-Spawn,Stamina
268,Anti-Spawn,Teleportation
269,Anti-Spawn,Energy Manipulation
270,Anti-Venom,Accelerated Healing
271,Anti-Venom,Durability
272,Anti-Venom,Danger Sense
273,Anti-Venom,Super Strength
274,Anti-Venom,Stamina
275,Anti-Venom,Enhanced Senses
276,Anti-Venom,Shapeshifting
277,Anti-Venom,Camouflage
278,Anti-Venom,Reflexes
279,Anti-Venom,Elasticity
280,Anti-Venom,Toxin and Disease Resistance
281,Anti-Venom,Wallcrawling
282,Anti-Venom,Web Creation
283,Anti-Venom,Symbiote Costume
284,Apocalypse,Agility
285,Apocalypse,Accelerated Healing
286,Apocalypse,Energy Absorption
287,Apocalypse,Flight
288,Apocalypse,Power Augmentation
289,Apocalypse,Longevity
290,Apocalypse,Super Strength
291,Apocalypse,Telepathy
292,Apocalypse,Energy Blasts
293,Apocalypse,Size Changing
294,Apocalypse,Stamina
295,Apocalypse,Super Speed
296,Apocalypse,Teleportation
297,Apocalypse,Telekinesis
298,Apocalypse,Shapeshifting
299,Apocalypse,Immortality
300,Apocalypse,Reflexes
301,Apocalypse,Invulnerability
302,Apocalypse,Force Fields
303,Apocalypse,Natural Armor
304,Apocalypse,Molecular Manipulation
305,Apocalypse,Levitation
306,Apocalypse,Biokinesis
307,Aquababy,Underwater breathing
308,Aquababy,Super Strength
309,Aquababy,Water Control
310,Aqualad,Durability
311,Aqualad,Underwater breathing
312,Aqualad,Super Strength
313,Aqualad,Cryokinesis
314,Aqualad,Telepathy
315,Aqualad,Stamina
316,Aqualad,Super Speed
317,Aqualad,Energy Beams
318,Aqualad,Magic
319,Aqualad,Enhanced Hearing
320,Aqualad,Heat Generation
321,Aqualad,Water Control
322,Aqualad,Vision - Night
323,Aquaman,Agility
324,Aquaman,Accelerated Healing
325,Aquaman,Cold Resistance
326,Aquaman,Durability
327,Aquaman,Stealth
328,Aquaman,Underwater breathing
329,Aquaman,Longevity
330,Aquaman,Intelligence
331,Aquaman,Super Strength
332,Aquaman,Telepathy
333,Aquaman,Stamina
334,Aquaman,Super Speed
335,Aquaman,Enhanced Senses
336,Aquaman,Reflexes
337,Aquaman,Invulnerability
338,Aquaman,Enhanced Hearing
339,Aquaman,Animal Control
340,Aquaman,Enhanced Sight
341,Aquaman,Heat Resistance
342,Aquaman,Enhanced Smell
343,Aquaman,Water Control
344,Aquaman,Sonar
345,Aquaman,Sub-Mariner
346,Aquaman,Vision - Night
347,Arachne,Agility
348,Arachne,Accelerated Healing
349,Arachne,Durability
350,Arachne,Super Strength
351,Arachne,Stamina
352,Arachne,Super Speed
353,Arachne,Reflexes
354,Arachne,Psionic Powers
355,Arachne,Toxin and Disease Resistance
356,Arachne,Enhanced Touch
357,Arachne,Wallcrawling
358,Arachne,Web Creation
359,Archangel,Agility
360,Archangel,Accelerated Healing
361,Archangel,Durability
362,Archangel,Flight
363,Archangel,Super Strength
364,Archangel,Stamina
365,Archangel,Gliding
366,Archangel,Vision - Telescopic
367,Arclight,Durability
368,Arclight,Super Strength
369,Arclight,Stamina
370,Arclight,Seismic Power
371,Ardina,Agility
372,Ardina,Accelerated Healing
373,Ardina,Cold Resistance
374,Ardina,Durability
375,Ardina,Flight
376,Ardina,Super Strength
377,Ardina,Energy Blasts
378,Ardina,Super Speed
379,Ardina,Enhanced Senses
380,Ardina,Reflexes
381,Ardina,Invulnerability
382,Ardina,Self-Sustenance
383,Ardina,Empathy
384,Ardina,Molecular Manipulation
385,Ardina,Energy Manipulation
386,Ardina,Heat Resistance
387,Ardina,Power Cosmic
388,Ares,Agility
389,Ares,Accelerated Healing
390,Ares,Durability
391,Ares,Super Strength
392,Ares,Stamina
393,Ares,Super Speed
394,Ares,Immortality
395,Ares,Reflexes
396,Ariel,Telepathy
397,Ariel,Teleportation
398,Armor,Super Strength
399,Armor,Energy Armor
400,Armor,Psionic Powers
401,Astro Boy,Flight
402,Astro Boy,Super Strength
403,Astro Boy,Energy Blasts
404,Astro Boy,Super Speed
405,Astro Boy,Weapon-based Powers
406,Astro Boy,Enhanced Hearing
407,Astro Boy,Vision - Telescopic
408,Astro Boy,Omnilingualism
409,Atlas,Durability
410,Atlas,Stealth
411,Atlas,Intelligence
412,Atlas,Super Strength
413,Atlas,Size Changing
414,Atlas,Stamina
415,Atlas,Super Speed
416,Atlas,Immortality
417,Atlas,Reflexes
418,Atlas,Invulnerability
419,Atlas,Self-Sustenance
420,Atom,Longevity
421,Atom,Super Strength
422,Atom,Duplication
423,Atom,Stamina
424,Atom,Super Speed
425,Atom,Radiation Immunity
426,Atom Girl,Size Changing
427,Atom II,Flight
428,Atom II,Super Strength
429,Atom II,Size Changing
430,Atom II,Density Control
431,Atom II,Gliding
432,Atom III,Size Changing
433,Atom IV,Intelligence
434,Aurora,Accelerated Healing
435,Aurora,Durability
436,Aurora,Flight
437,Aurora,Energy Blasts
438,Aurora,Super Speed
439,Aurora,Reflexes
440,Aurora,Molecular Manipulation
441,Aurora,Light Control
442,Aurora,Illumination
443,Aurora,Molecular Combustion
444,Azazel,Accelerated Healing
445,Azazel,Longevity
446,Azazel,Teleportation
447,Azazel,Dimensional Travel
448,Azazel,Shapeshifting
449,Azazel,Regeneration
450,Azrael,Weapons Master
451,Azrael,Super Strength
452,Azrael,Stamina
453,Azrael,Super Speed
454,Azrael,Weapon-based Powers
455,Aztar,Flight
456,Aztar,Super Strength
457,Aztar,Telepathy
458,Aztar,Stamina
459,Aztar,Astral Travel
460,Aztar,Super Speed
461,Aztar,Teleportation
462,Aztar,Magic
463,Aztar,Invulnerability
464,Aztar,Precognition
465,Aztar,Intangibility
466,Aztar,Illusions
467,Aztar,Invisibility
468,Bane,Durability
469,Bane,Super Strength
470,Bane,Stamina
471,Bane,Super Speed
472,Bane,Enhanced Memory
473,Bane,Reflexes
474,Banshee,Flight
475,Banshee,Audio Control
476,Banshee,Force Fields
477,Banshee,Enhanced Hearing
478,Banshee,Sonar
479,Banshee,Sonic Scream
480,Bantam,Durability
481,Bantam,Super Strength
482,Bantam,Stamina
483,Batgirl,Stealth
484,Batgirl,Marksmanship
485,Batgirl,Weapons Master
486,Batgirl,Intelligence
487,Batgirl,Stamina
488,Batgirl,Weapon-based Powers
489,Batgirl,Reflexes
490,Batgirl IV,Agility
491,Batgirl IV,Stealth
492,Batgirl IV,Weapons Master
493,Batgirl IV,Peak Human Condition
494,Batgirl IV,Toxin and Disease Resistance
495,Batgirl VI,Agility
496,Batgirl VI,Marksmanship
497,Batgirl VI,Stamina
498,Batgirl VI,Weapon-based Powers
499,Batman,Agility
500,Batman,Durability
501,Batman,Stealth
502,Batman,Underwater breathing
503,Batman,Marksmanship
504,Batman,Weapons Master
505,Batman,Intelligence
506,Batman,Super Strength
507,Batman,Stamina
508,Batman,Super Speed
509,Batman,Weapon-based Powers
510,Batman,Peak Human Condition
511,Batman,Reflexes
512,Batman,Gliding
513,Batman,Power Suit
514,Batman,Vision - Night
515,Batman,Vision - Infrared
516,Batman II,Agility
517,Batman II,Stealth
518,Batman II,Marksmanship
519,Batman II,Weapons Master
520,Batman II,Intelligence
521,Batman II,Stamina
522,Batman II,Weapon-based Powers
523,Batman II,Peak Human Condition
524,Battlestar,Agility
525,Battlestar,Durability
526,Battlestar,Super Strength
527,Battlestar,Stamina
528,Battlestar,Super Speed
529,Battlestar,Reflexes
530,Batwoman V,Stealth
531,Batwoman V,Marksmanship
532,Batwoman V,Weapons Master
533,Batwoman V,Intelligence
534,Batwoman V,Stamina
535,Batwoman V,Dexterity
536,Beak,Flight
537,Beak,Gliding
538,Beak,Vision - Telescopic
539,Beast,Agility
540,Beast,Accelerated Healing
541,Beast,Animal Attributes
542,Beast,Intelligence
543,Beast,Super Strength
544,Beast,Stamina
545,Beast,Dexterity
546,Beast,Super Speed
547,Beast,Enhanced Senses
548,Beast,Jump
549,Beast,Reflexes
550,Beast,Natural Weapons
551,Beast,Wallcrawling
552,Beast,Vision - Night
553,Beast Boy,Agility
554,Beast Boy,Durability
555,Beast Boy,Flight
556,Beast Boy,Animal Attributes
557,Beast Boy,Super Strength
558,Beast Boy,Size Changing
559,Beast Boy,Super Speed
560,Beast Boy,Animal Oriented Powers
561,Beast Boy,Shapeshifting
562,Beast Boy,Empathy
563,Beast Boy,Natural Armor
564,Beast Boy,Natural Weapons
565,Beast Boy,Sub-Mariner
566,Beast Boy,Wallcrawling
567,Ben 10,Omnitrix
568,Ben 10,Shapeshifting
569,Beta Ray Bill,Accelerated Healing
570,Beta Ray Bill,Super Strength
571,Beta Ray Bill,Stamina
572,Beta Ray Bill,Super Speed
573,Beta Ray Bill,Immortality
574,Beta Ray Bill,Invulnerability
575,Beta Ray Bill,Toxin and Disease Resistance
576,Beyonder,Accelerated Healing
577,Beyonder,Dimensional Awareness
578,Beyonder,Energy Absorption
579,Beyonder,Flight
580,Beyonder,Super Strength
581,Beyonder,Telepathy
582,Beyonder,Energy Blasts
583,Beyonder,Size Changing
584,Beyonder,Super Speed
585,Beyonder,Teleportation
586,Beyonder,Telekinesis
587,Beyonder,Shapeshifting
588,Beyonder,Immortality
589,Beyonder,Invulnerability
590,Beyonder,Force Fields
591,Beyonder,Psionic Powers
592,Beyonder,Energy Manipulation
593,Beyonder,Omnipotent
594,Beyonder,Reality Warping
595,Big Barda,Agility
596,Big Barda,Durability
597,Big Barda,Flight
598,Big Barda,Longevity
599,Big Barda,Super Strength
600,Big Barda,Stamina
601,Big Barda,Immortality
602,Big Barda,Reflexes
603,Big Barda,Invulnerability
604,Big Barda,Toxin and Disease Resistance
605,Big Daddy,Stamina
606,Big Man,Marksmanship
607,Bill Harken,Super Strength
608,Bill Harken,Super Speed
609,Bill Harken,Toxin and Disease Resistance
610,Billy Kincaid,Possession
611,Binary,Durability
612,Binary,Energy Absorption
613,Binary,Flight
614,Binary,Super Strength
615,Binary,Energy Blasts
616,Binary,Super Speed
617,Bionic Woman,Agility
618,Bionic Woman,Durability
619,Bionic Woman,Super Strength
620,Bionic Woman,Stamina
621,Bionic Woman,Super Speed
622,Bionic Woman,Jump
623,Bionic Woman,Enhanced Hearing
624,Bird-Brain,Flight
625,Bird-Brain,Animal Attributes
626,Bird-Brain,Natural Weapons
627,Bird-Man,Flight
628,Bird-Man,Super Strength
629,Bird-Man,Animal Oriented Powers
630,Bird-Man,Natural Weapons
631,Bird-Man II,Flight
632,Bird-Man II,Power Suit
633,Birdman,Agility
634,Birdman,Energy Absorption
635,Birdman,Flight
636,Birdman,Longevity
637,Birdman,Intelligence
638,Birdman,Super Strength
639,Birdman,Energy Blasts
640,Birdman,Stamina
641,Birdman,Immortality
642,Birdman,Force Fields
643,Bishop,Accelerated Healing
644,Bishop,Energy Absorption
645,Bishop,Super Strength
646,Bishop,Energy Blasts
647,Bishop,Stamina
648,Bishop,Invulnerability
649,Bishop,Time Travel
650,Bishop,Energy Resistance
651,Bizarro,Agility
652,Bizarro,Accelerated Healing
653,Bizarro,Durability
654,Bizarro,Energy Absorption
655,Bizarro,Flight
656,Bizarro,Marksmanship
657,Bizarro,Longevity
658,Bizarro,Super Strength
659,Bizarro,Cryokinesis
660,Bizarro,Stamina
661,Bizarro,Super Speed
662,Bizarro,Enhanced Senses
663,Bizarro,Jump
664,Bizarro,Invulnerability
665,Bizarro,Self-Sustenance
666,Bizarro,Enhanced Hearing
667,Bizarro,Hypnokinesis
668,Bizarro,Enhanced Sight
669,Bizarro,Vision - Telescopic
670,Bizarro,Vision - Microscopic
671,Bizarro,Super Breath
672,Bizarro,Vision - X-Ray
673,Bizarro,Vision - Cryo
674,Black Abbott,Telepathy
675,Black Abbott,Energy Blasts
676,Black Abbott,Telekinesis
677,Black Abbott,Mind Control
678,Black Abbott,Mind Blast
679,Black Adam,Accelerated Healing
680,Black Adam,Flight
681,Black Adam,Longevity
682,Black Adam,Intelligence
683,Black Adam,Super Strength
684,Black Adam,Energy Blasts
685,Black Adam,Stamina
686,Black Adam,Super Speed
687,Black Adam,Telekinesis
688,Black Adam,Magic
689,Black Adam,Clairvoyance
690,Black Adam,Invulnerability
691,Black Adam,Self-Sustenance
692,Black Adam,Enhanced Hearing
693,Black Bolt,Agility
694,Black Bolt,Durability
695,Black Bolt,Energy Absorption
696,Black Bolt,Flight
697,Black Bolt,Longevity
698,Black Bolt,Super Strength
699,Black Bolt,Telepathy
700,Black Bolt,Energy Blasts
701,Black Bolt,Stamina
702,Black Bolt,Super Speed
703,Black Bolt,Reflexes
704,Black Bolt,Molecular Manipulation
705,Black Bolt,Sonic Scream
706,Black Canary,Agility
707,Black Canary,Stealth
708,Black Canary,Marksmanship
709,Black Canary,Weapons Master
710,Black Canary,Intelligence
711,Black Canary,Stamina
712,Black Canary,Audio Control
713,Black Canary,Reflexes
714,Black Canary,Sonic Scream
715,Black Cat,Agility
716,Black Cat,Super Strength
717,Black Cat,Stamina
718,Black Cat,Super Speed
719,Black Cat,Reflexes
720,Black Cat,Probability Manipulation
721,Black Cat,Vision - Infrared
722,Black Flash,Agility
723,Black Flash,Stealth
724,Black Flash,Flight
725,Black Flash,Super Strength
726,Black Flash,Stamina
727,Black Flash,Super Speed
728,Black Flash,Death Touch
729,Black Flash,Enhanced Senses
730,Black Flash,Dimensional Travel
731,Black Flash,Immortality
732,Black Flash,Intangibility
733,Black Flash,Natural Weapons
734,Black Flash,Time Manipulation
735,Black Knight III,Weapon-based Powers
736,Black Lightning,Energy Absorption
737,Black Lightning,Flight
738,Black Lightning,Energy Blasts
739,Black Lightning,Electrokinesis
740,Black Lightning,Peak Human Condition
741,Black Lightning,Force Fields
742,Black Lightning,Energy Manipulation
743,Black Mamba,Darkforce Manipulation
744,Black Mamba,Hypnokinesis
745,Black Mamba,Illusions
746,Black Manta,Agility
747,Black Manta,Cold Resistance
748,Black Manta,Durability
749,Black Manta,Stealth
750,Black Manta,Underwater breathing
751,Black Manta,Marksmanship
752,Black Manta,Weapons Master
753,Black Manta,Super Strength
754,Black Manta,Energy Blasts
755,Black Manta,Stamina
756,Black Manta,Super Speed
757,Black Manta,Jump
758,Black Manta,Peak Human Condition
759,Black Manta,Camouflage
760,Black Manta,Power Suit
761,Black Manta,Vision - Telescopic
762,Black Manta,Sub-Mariner
763,Black Manta,Vision - Infrared
764,Black Panther,Agility
765,Black Panther,Stealth
766,Black Panther,Marksmanship
767,Black Panther,Weapons Master
768,Black Panther,Stamina
769,Black Panther,Enhanced Senses
770,Black Panther,Peak Human Condition
771,Black Panther,Enhanced Memory
772,Black Panther,Reflexes
773,Black Panther,Enhanced Hearing
774,Black Panther,Enhanced Smell
775,Black Panther,Vision - Telescopic
776,Black Panther,Vision - Night
777,Black Widow,Agility
778,Black Widow,Stealth
779,Black Widow,Marksmanship
780,Black Widow,Weapons Master
781,Black Widow,Longevity
782,Black Widow,Intelligence
783,Black Widow,Stamina
784,Black Widow,Peak Human Condition
785,Black Widow,Reflexes
786,Blackout,Agility
787,Blackout,Accelerated Healing
788,Blackout,Durability
789,Blackout,Super Strength
790,Blackout,Stamina
791,Blackout,Super Speed
792,Blackout,Camouflage
793,Blackout,Reflexes
794,Blackout,Vision - Telescopic
795,Blackout,Vision - Night
796,Blackwing,Flight
797,Blackwing,Telepathy
798,Blackwulf,Durability
799,Blackwulf,Super Strength
800,Blackwulf,Energy Blasts
801,Blackwulf,Death Touch
802,Blade,Agility
803,Blade,Accelerated Healing
804,Blade,Weapons Master
805,Blade,Super Strength
806,Blade,Stamina
807,Blade,Super Speed
808,Blade,Enhanced Senses
809,Blade,Enhanced Hearing
810,Blade,Enhanced Smell
811,Blade,Vision - Telescopic
812,Blade,Vision - Night
813,Bling!,Durability
814,Bling!,Natural Armor
815,Bling!,Natural Weapons
816,Blink,Teleportation
817,Blizzard,Cryokinesis
818,Blizzard,Weapon-based Powers
819,Blizzard II,Cryokinesis
820,Blob,Durability
821,Blob,Super Strength
822,Blob,Gravity Control
823,Bloodaxe,Agility
824,Bloodaxe,Durability
825,Bloodaxe,Super Strength
826,Bloodaxe,Cryokinesis
827,Bloodaxe,Energy Blasts
828,Bloodaxe,Stamina
829,Bloodaxe,Super Speed
830,Bloodaxe,Weapon-based Powers
831,Bloodaxe,Teleportation
832,Bloodaxe,Fire Control
833,Bloodaxe,Reflexes
834,Bloodaxe,Invulnerability
835,Bloodaxe,Magnetism
836,Bloodhawk,Flight
837,Bloodhawk,Enhanced Senses
838,Bloodhawk,Shapeshifting
839,Bloodhawk,Regeneration
840,Bloodhawk,Natural Weapons
841,Bloodhawk,Radiation Immunity
842,Bloodhawk,Toxin and Disease Resistance
843,Bloodwraith,Energy Absorption
844,Bloodwraith,Weapons Master
845,Bloodwraith,Super Strength
846,Bloodwraith,Energy Blasts
847,Bloodwraith,Weapon-based Powers
848,Bloodwraith,Teleportation
849,Bloodwraith,Telekinesis
850,Bloodwraith,Magic
851,Bloodwraith,Invulnerability
852,Blue Beetle,Flight
853,Blue Beetle,Super Strength
854,Blue Beetle,Energy Blasts
855,Blue Beetle II,Intelligence
856,Blue Beetle III,Agility
857,Blue Beetle III,Accelerated Healing
858,Blue Beetle III,Cold Resistance
859,Blue Beetle III,Flight
860,Blue Beetle III,Super Strength
861,Blue Beetle III,Energy Blasts
862,Blue Beetle III,Force Fields
863,Blue Beetle III,Technopath/Cyberpath
864,Blue Beetle III,Power Suit
865,Blue Beetle III,Energy Manipulation
866,Blue Beetle III,Heat Resistance
867,Blue Beetle III,Symbiote Costume
868,Boba Fett,Agility
869,Boba Fett,Stealth
870,Boba Fett,Flight
871,Boba Fett,Marksmanship
872,Boba Fett,Weapons Master
873,Boba Fett,Intelligence
874,Boba Fett,Stamina
875,Boba Fett,Enhanced Hearing
876,Boba Fett,Enhanced Sight
877,Boba Fett,Power Suit
878,Boba Fett,Radar Sense
879,Bomb Queen,Accelerated Healing
880,Bomb Queen,Energy Blasts
881,Boom-Boom,Agility
882,Boom-Boom,Energy Absorption
883,Boom-Boom,Energy Blasts
884,Boom-Boom,Energy Beams
885,Boom-Boom,Psionic Powers
886,Boom-Boom,Energy Manipulation
887,Booster Gold,Agility
888,Booster Gold,Durability
889,Booster Gold,Flight
890,Booster Gold,Weapons Master
891,Booster Gold,Longevity
892,Booster Gold,Intelligence
893,Booster Gold,Super Strength
894,Booster Gold,Energy Blasts
895,Booster Gold,Enhanced Senses
896,Booster Gold,Invulnerability
897,Booster Gold,Force Fields
898,Booster Gold,Precognition
899,Booster Gold,Enhanced Hearing
900,Booster Gold,Power Suit
901,Booster Gold,Time Travel
902,Booster Gold,Time Manipulation
903,Booster Gold,Vision - Infrared
904,Booster Gold,Vision - X-Ray
905,Box IV,Telekinesis
906,Brainiac,Durability
907,Brainiac,Flight
908,Brainiac,Longevity
909,Brainiac,Intelligence
910,Brainiac,Super Strength
911,Brainiac,Telepathy
912,Brainiac,Super Speed
913,Brainiac,Telekinesis
914,Brainiac,Force Fields
915,Brainiac,Self-Sustenance
916,Brainiac,Omnilingualism
917,Brainiac 5,Intelligence
918,Brainiac 5,Energy Beams
919,Brainiac 5,Force Fields
920,Brother Voodoo,Magic
921,Brundlefly,Agility
922,Brundlefly,Stealth
923,Brundlefly,Super Strength
924,Brundlefly,Stamina
925,Brundlefly,Toxin and Disease Control
926,Brundlefly,Wallcrawling
927,Buffy,Agility
928,Buffy,Accelerated Healing
929,Buffy,Durability
930,Buffy,Stealth
931,Buffy,Danger Sense
932,Buffy,Super Strength
933,Buffy,Stamina
934,Buffy,Super Speed
935,Buffy,Enhanced Memory
936,Buffy,Reflexes
937,Buffy,Psionic Powers
938,Buffy,Vision - Telescopic
939,Bullseye,Durability
